timestamp,lux,in_range
2026-07-28T15:43:41.403,118.33,1
2026-07-28T15:43:51.403,117.5,1
2026-07-28T15:44:01.404,118.33,1
2026-07-28T15:44:11.404,119.17,1
2026-07-28T15:44:21.403,119.17,1
2026-07-28T15:44:31.402,123.33,1
2026-07-28T15:44:41.402,123.33,1
2026-07-28T15:44:51.402,125.0,1
2026-07-28T15:45:01.403,125.0,1
2026-07-28T15:45:11.403,125.0,1
2026-07-28T15:45:21.403,125.0,1
2026-07-28T15:45:31.403,122.5,1
2026-07-28T15:45:41.403,121.67,1
2026-07-28T15:45:51.404,120.0,1
2026-07-28T15:46:01.404,118.33,1
2026-07-28T15:46:11.404,118.33,1
2026-07-28T15:46:21.405,119.17,1
2026-07-28T15:46:31.405,116.67,1
2026-07-28T15:46:41.406,113.33,1
2026-07-28T15:46:51.406,110.0,1
2026-07-28T15:47:01.407,108.33,1
2026-07-28T15:47:11.407,106.67,1
2026-07-28T15:47:21.407,104.17,1
2026-07-28T15:47:31.408,102.5,1
2026-07-28T15:47:41.409,100.83,1
2026-07-28T15:47:51.409,99.17,1
2026-07-28T15:48:01.410,100.0,1
2026-07-28T15:48:11.411,100.0,1
2026-07-28T15:48:21.411,99.17,1
2026-07-28T15:48:31.412,99.17,1
2026-07-28T15:48:41.413,99.17,1
2026-07-28T15:48:51.413,100.0,1
2026-07-28T15:49:01.414,99.17,1
2026-07-28T15:49:11.415,99.17,1
2026-07-28T15:49:21.415,98.33,1
2026-07-28T15:49:31.416,97.5,1
2026-07-28T15:49:41.417,97.5,1
2026-07-28T15:49:51.417,98.33,1
2026-07-28T15:50:01.418,98.33,1
2026-07-28T15:50:11.418,99.17,1
2026-07-28T15:50:21.419,100.83,1
2026-07-28T15:50:31.421,103.33,1
2026-07-28T15:50:41.423,104.17,1
2026-07-28T15:50:51.426,106.67,1
2026-07-28T15:51:01.428,107.5,1
2026-07-28T15:51:11.431,108.33,1
2026-07-28T15:51:21.433,111.67,1
2026-07-28T15:51:31.434,110.83,1
2026-07-28T15:51:41.436,110.0,1
2026-07-28T15:51:51.438,110.83,1
2026-07-28T15:52:01.440,113.33,1
2026-07-28T15:52:11.441,116.67,1
2026-07-28T15:52:21.443,117.5,1
2026-07-28T15:52:31.444,118.33,1
2026-07-28T15:52:41.446,119.17,1
2026-07-28T15:52:51.447,118.33,1
2026-07-28T15:53:01.448,119.17,1
2026-07-28T15:53:11.450,120.83,1
2026-07-28T15:53:21.451,120.0,1
2026-07-28T15:53:31.452,120.0,1
2026-07-28T15:53:41.453,120.0,1
2026-07-28T15:53:51.455,119.17,1
2026-07-28T15:54:01.456,120.0,1
2026-07-28T15:54:11.457,117.5,1
2026-07-28T15:54:21.458,116.67,1
2026-07-28T15:54:31.459,116.67,1
2026-07-28T15:54:41.460,114.17,1
2026-07-28T15:54:51.460,112.5,1
2026-07-28T15:55:01.462,113.33,1
2026-07-28T15:55:11.462,112.5,1
2026-07-28T15:55:21.463,114.17,1
2026-07-28T15:55:31.464,115.83,1
2026-07-28T15:55:41.465,115.0,1
2026-07-28T15:55:51.466,113.33,1
2026-07-28T15:56:01.467,112.5,1
2026-07-28T15:56:11.468,112.5,1
2026-07-28T15:56:21.468,111.67,1
2026-07-28T15:56:31.469,110.83,1
2026-07-28T15:56:41.470,111.67,1
2026-07-28T15:56:51.471,110.83,1
2026-07-28T15:57:01.472,110.83,1
2026-07-28T15:57:11.473,110.0,1
2026-07-28T15:57:21.474,110.0,1
2026-07-28T15:57:31.475,110.0,1
2026-07-28T15:57:41.475,108.33,1
2026-07-28T15:57:51.476,108.33,1
2026-07-28T15:58:01.477,107.5,1
2026-07-28T15:58:11.478,106.67,1
2026-07-28T15:58:21.478,106.67,1
2026-07-28T15:58:31.479,106.67,1
2026-07-28T15:58:41.480,106.67,1
2026-07-28T15:58:51.481,106.67,1
2026-07-28T15:59:01.482,106.67,1
2026-07-28T15:59:11.482,107.5,1
2026-07-28T15:59:21.482,113.33,1
2026-07-28T15:59:31.482,117.5,1
2026-07-28T15:59:41.482,115.0,1
2026-07-28T15:59:51.482,113.33,1
2026-07-28T16:00:01.482,110.83,1
2026-07-28T16:00:11.482,110.83,1
