time,value
2026-09-12T00:54:18.811Z,7.293037414550781
2026-09-12T00:54:18.819Z,7.293037414550781
2026-09-12T00:54:19.818Z,7.28346061706543
2026-09-12T00:54:19.836Z,7.28346061706543
2026-09-12T00:54:20.824Z,0.0694318488240242
2026-09-12T00:54:20.843Z,0.0694318488240242
2026-09-12T00:54:21.826Z,0.8834604024887085
2026-09-12T00:54:21.843Z,0.8834604024887085
2026-09-12T00:54:22.826Z,-0.016759412363171577
2026-09-12T00:54:22.862Z,-0.016759412363171577
2026-09-12T00:54:23.845Z,-0.009576806798577309
2026-09-12T00:54:23.878Z,-0.009576806798577309
2026-09-12T00:54:24.862Z,-0.0071826050989329815
2026-09-12T00:54:24.879Z,-0.0071826050989329815
2026-09-12T00:54:25.864Z,-0.011971008032560349
2026-09-12T00:54:25.895Z,-0.011971008032560349
2026-09-12T00:54:26.881Z,-0.011971008032560349
2026-09-12T00:54:26.913Z,-0.011971008032560349
2026-09-12T00:54:27.881Z,-0.014365210197865963
2026-09-12T00:54:27.934Z,-0.014365210197865963
2026-09-12T00:54:28.897Z,-0.019153613597154617
2026-09-12T00:54:28.949Z,-0.019153613597154617
2026-09-12T00:54:29.914Z,-1.0055646896362305
2026-09-12T00:54:29.963Z,-1.0055646896362305
2026-09-12T00:54:30.913Z,1.1755530834197998
2026-09-12T00:54:30.964Z,1.1755530834197998
2026-09-12T00:54:31.93Z,-7.27148962020874
2026-09-12T00:54:31.982Z,-7.27148962020874
2026-09-12T00:54:33.022Z,9.481337547302246
2026-09-12T00:54:33.032Z,9.481337547302246
2026-09-12T00:54:33.946Z,9.162909507751465
2026-09-12T00:54:34.007Z,9.162909507751465
2026-09-12T00:54:34.951Z,9.964966773986816
2026-09-12T00:54:35.001Z,9.964966773986816
2026-09-12T00:54:36.213Z,-5.59794282913208
2026-09-12T00:54:36.214Z,-5.59794282913208
2026-09-12T00:54:37.214Z,1.6041151285171509
2026-09-12T00:54:37.216Z,1.6041151285171509
2026-09-12T00:54:38.215Z,1.6041151285171509
2026-09-12T00:54:38.217Z,1.6041151285171509
2026-09-12T00:54:39.216Z,4.110844135284424
2026-09-12T00:54:39.217Z,4.110844135284424
2026-09-12T00:54:40.228Z,6.4957685470581055
2026-09-12T00:54:40.229Z,6.4957685470581055
2026-09-12T00:54:41.226Z,-1.7860745191574097
2026-09-12T00:54:41.227Z,-1.7860745191574097
2026-09-12T00:54:42.234Z,7.436689853668213
2026-09-12T00:54:42.241Z,7.436689853668213
2026-09-12T00:54:43.243Z,6.158185958862305
2026-09-12T00:54:43.245Z,6.158185958862305
2026-09-12T00:54:44.253Z,9.119813919067383
2026-09-12T00:54:45.253Z,7.568370819091797
2026-09-12T00:54:45.254Z,7.568370819091797
2026-09-12T00:54:46.261Z,4.101267337799072
2026-09-12T00:54:46.262Z,4.101267337799072
2026-09-12T00:54:47.27Z,3.622427225112915
2026-09-12T00:54:47.272Z,3.622427225112915
2026-09-12T00:54:48.272Z,6.799831867218018
2026-09-12T00:54:49.279Z,4.553771495819092
2026-09-12T00:54:49.28Z,4.553771495819092
2026-09-12T00:54:50.28Z,8.70801067352295
2026-09-12T00:54:50.281Z,8.70801067352295
2026-09-12T00:54:51.289Z,9.783007621765137
2026-09-12T00:54:52.298Z,10.249876976013184
2026-09-12T00:54:52.299Z,10.249876976013184
2026-09-12T00:54:53.299Z,9.613018989562988
2026-09-12T00:54:54.308Z,8.341697692871094
