timestamp,lux,in_range
2026-07-28T17:09:29.622,7.5,1
2026-07-28T17:09:39.622,7.5,1
2026-07-28T17:09:49.623,7.5,1
2026-07-28T17:09:59.623,6.67,1
2026-07-28T17:10:09.624,6.67,1
2026-07-28T17:10:19.624,6.67,1
2026-07-28T17:10:29.625,6.67,1
2026-07-28T17:10:39.626,6.67,1
2026-07-28T17:10:49.626,6.67,1
2026-07-28T17:10:59.627,6.67,1
2026-07-28T17:11:09.627,6.67,1
2026-07-28T17:11:19.628,6.67,1
2026-07-28T17:11:29.629,6.67,1
2026-07-28T17:11:39.629,6.67,1
2026-07-28T17:11:49.630,5.83,1
2026-07-28T17:11:59.631,5.83,1
2026-07-28T17:12:09.631,5.83,1
2026-07-28T17:12:19.631,5.83,1
2026-07-28T17:12:29.632,5.83,1
2026-07-28T17:12:39.632,5.83,1
2026-07-28T17:12:49.633,5.83,1
2026-07-28T17:12:59.633,5.83,1
2026-07-28T17:13:09.634,5.83,1
2026-07-28T17:13:19.634,5.83,1
2026-07-28T17:13:29.635,5.83,1
2026-07-28T17:13:39.636,5.83,1
2026-07-28T17:13:49.636,5.83,1
2026-07-28T17:13:59.637,5.83,1
2026-07-28T17:14:09.637,5.83,1
2026-07-28T17:14:19.638,5.83,1
2026-07-28T17:14:29.638,5.83,1
2026-07-28T17:14:39.638,5.83,1
2026-07-28T17:14:49.639,5.83,1
2026-07-28T17:14:59.639,5.83,1
2026-07-28T17:15:09.640,5.0,1
2026-07-28T17:15:19.640,5.83,1
2026-07-28T17:15:29.641,5.83,1
2026-07-28T17:15:39.641,5.83,1
2026-07-28T17:15:49.642,5.83,1
2026-07-28T17:15:59.642,5.83,1
2026-07-28T17:16:09.643,5.83,1
2026-07-28T17:16:19.643,5.83,1
2026-07-28T17:16:29.644,5.83,1
2026-07-28T17:16:39.644,5.83,1
2026-07-28T17:16:49.645,5.83,1
2026-07-28T17:16:59.645,5.83,1
2026-07-28T17:17:09.646,5.83,1
2026-07-28T17:17:19.647,5.83,1
2026-07-28T17:17:29.647,5.83,1
2026-07-28T17:17:39.648,5.83,1
2026-07-28T17:17:49.648,5.0,1
2026-07-28T17:17:59.649,5.0,1
2026-07-28T17:18:09.649,5.0,1
2026-07-28T17:18:19.650,5.0,1
2026-07-28T17:18:29.650,5.0,1
2026-07-28T17:18:39.651,5.0,1
2026-07-28T17:18:49.651,5.0,1
2026-07-28T17:18:59.652,5.0,1
2026-07-28T17:19:09.653,5.0,1
2026-07-28T17:19:19.653,5.0,1
2026-07-28T17:19:29.654,5.0,1
2026-07-28T17:19:39.654,5.0,1
2026-07-28T17:19:49.654,5.0,1
