timestamp,lux,out_of_range
2026-07-29T13:25:12.906893,174.17,0
2026-07-29T13:25:22.907195,183.33,0
2026-07-29T13:25:32.907483,200.0,0
2026-07-29T13:25:42.907823,184.17,0
2026-07-29T13:25:52.908239,184.17,0
2026-07-29T13:26:02.908479,183.33,0
2026-07-29T13:26:12.908780,179.17,0
2026-07-29T13:26:22.909139,180.83,0
2026-07-29T13:26:32.909858,179.17,0
2026-07-29T13:26:42.910026,176.67,0
2026-07-29T13:26:52.910492,175.0,0
2026-07-29T13:27:02.910736,170.83,0
2026-07-29T13:27:12.910921,173.33,0
2026-07-29T13:27:22.911359,173.33,0
2026-07-29T13:27:32.911663,174.17,0
2026-07-29T13:27:42.911908,176.67,0
2026-07-29T13:27:52.912342,181.67,0
2026-07-29T13:28:02.912477,190.83,0
2026-07-29T13:28:12.912903,245.83,0
2026-07-29T13:28:22.913138,271.67,0
2026-07-29T13:28:32.913634,243.33,0
2026-07-29T13:28:42.913798,214.17,0
2026-07-29T13:28:52.914326,195.83,0
2026-07-29T13:29:02.914558,207.5,0
2026-07-29T13:29:12.915060,215.0,0
2026-07-29T13:29:22.915231,222.5,0
2026-07-29T13:29:32.915715,208.33,0
2026-07-29T13:29:42.916015,210.0,0
2026-07-29T13:29:52.916457,222.5,0
2026-07-29T13:30:02.916613,250.0,0
2026-07-29T13:30:12.917047,230.0,0
2026-07-29T13:30:22.917383,246.67,0
2026-07-29T13:30:32.917718,232.5,0
2026-07-29T13:30:42.917781,254.17,0
2026-07-29T13:30:52.918389,245.83,0
2026-07-29T13:31:02.918549,258.33,0
2026-07-29T13:31:12.919475,251.67,0
2026-07-29T13:31:22.920399,232.5,0
2026-07-29T13:31:32.921326,230.83,0
2026-07-29T13:31:42.922170,233.33,0
2026-07-29T13:31:52.923209,284.17,0
2026-07-29T13:32:02.924101,235.83,0
2026-07-29T13:32:12.925280,234.17,0
2026-07-29T13:32:22.926172,240.83,0
2026-07-29T13:32:32.927142,265.0,0
2026-07-29T13:32:42.927890,254.17,0
2026-07-29T13:32:52.928959,256.67,0
2026-07-29T13:33:02.929901,272.5,0
2026-07-29T13:33:12.930875,258.33,0
2026-07-29T13:33:22.931797,245.83,0
2026-07-29T13:33:32.932525,252.5,0
2026-07-29T13:33:42.933409,238.33,0
2026-07-29T13:33:52.934245,235.0,0
2026-07-29T13:34:02.935198,251.67,0
2026-07-29T13:34:12.936082,274.17,0
2026-07-29T13:34:22.936966,250.0,0
2026-07-29T13:34:32.937777,273.33,0
2026-07-29T13:34:42.938710,243.33,0
2026-07-29T13:34:52.939420,228.33,0
2026-07-29T13:35:02.940291,213.33,0
2026-07-29T13:35:12.941113,213.33,0
2026-07-29T13:35:22.941931,205.83,0
2026-07-29T13:35:32.942866,200.83,0
2026-07-29T13:35:42.943520,207.5,0
2026-07-29T13:35:52.944299,197.5,0
2026-07-29T13:36:02.944961,202.5,0
2026-07-29T13:36:12.945760,206.67,0
2026-07-29T13:36:22.946538,220.0,0
2026-07-29T13:36:32.947403,196.67,0
2026-07-29T13:36:42.948286,200.83,0
2026-07-29T13:36:52.948850,205.0,0
2026-07-29T13:37:02.949672,221.67,0
2026-07-29T13:37:12.950531,230.0,0
2026-07-29T13:37:22.951313,217.5,0
2026-07-29T13:37:32.952041,244.17,0
2026-07-29T13:37:42.952829,211.67,0
2026-07-29T13:37:52.953424,213.33,0
2026-07-29T13:38:02.954245,185.0,0
2026-07-29T13:38:12.955042,186.67,0
2026-07-29T13:38:22.955613,183.33,0
2026-07-29T13:38:32.956416,165.83,0
2026-07-29T13:38:42.957187,169.17,0
2026-07-29T13:38:52.958154,175.83,0
2026-07-29T13:39:02.958798,160.0,0
2026-07-29T13:39:12.959604,165.83,0
2026-07-29T13:39:22.960235,180.0,0
2026-07-29T13:39:32.961027,168.33,0
2026-07-29T13:39:42.961834,161.67,0
2026-07-29T13:39:52.962418,166.67,0
2026-07-29T13:40:02.963335,165.0,0
2026-07-29T13:40:12.963994,171.67,0
2026-07-29T13:40:22.964625,190.0,0
2026-07-29T13:40:32.965400,200.83,0
2026-07-29T13:40:42.966147,185.83,0
2026-07-29T13:40:52.966958,176.67,0
2026-07-29T13:41:02.967444,197.5,0
2026-07-29T13:41:12.968000,228.33,0
2026-07-29T13:41:22.968692,208.33,0
2026-07-29T13:41:32.969259,206.67,0
2026-07-29T13:41:42.969815,208.33,0
2026-07-29T13:41:52.970610,190.0,0
2026-07-29T13:42:02.971126,178.33,0
2026-07-29T13:42:12.971887,180.83,0
2026-07-29T13:42:22.972425,185.83,0
2026-07-29T13:42:32.973024,175.0,0
2026-07-29T13:42:42.973602,172.5,0
2026-07-29T13:42:52.974243,172.5,0
2026-07-29T13:43:02.974801,172.5,0
2026-07-29T13:43:12.975469,173.33,0
2026-07-29T13:43:22.976187,174.17,0
2026-07-29T13:43:32.976816,175.0,0
2026-07-29T13:43:42.977322,175.83,0
2026-07-29T13:43:52.977870,175.83,0
2026-07-29T13:44:02.978417,175.83,0
2026-07-29T13:44:12.978963,173.33,0
2026-07-29T13:44:22.979619,173.33,0
2026-07-29T13:44:32.980242,172.5,0
2026-07-29T13:44:42.980821,178.33,0
2026-07-29T13:44:52.981456,194.17,0
2026-07-29T13:45:02.982135,272.5,0
2026-07-29T13:45:12.982868,269.17,0
2026-07-29T13:45:22.983460,180.83,0
2026-07-29T13:45:32.984044,178.33,0
2026-07-29T13:45:42.984703,181.67,0
2026-07-29T13:45:52.985400,224.17,0
2026-07-29T13:46:02.986004,267.5,0
2026-07-29T13:46:12.986560,246.67,0
2026-07-29T13:46:22.987074,222.5,0
2026-07-29T13:46:32.987709,236.67,0
2026-07-29T13:46:42.988209,224.17,0
2026-07-29T13:46:52.988825,270.83,0
2026-07-29T13:47:02.989243,286.67,0
2026-07-29T13:47:12.989804,277.5,0
2026-07-29T13:47:22.990332,279.17,0
2026-07-29T13:47:32.990941,280.0,0
2026-07-29T13:47:42.991449,278.33,0
2026-07-29T13:47:52.991903,279.17,0
2026-07-29T13:48:02.992479,262.5,0
2026-07-29T13:48:12.992924,268.33,0
2026-07-29T13:48:22.993421,269.17,0
2026-07-29T13:48:32.994036,273.33,0
2026-07-29T13:48:42.994476,276.67,0
2026-07-29T13:48:52.995002,274.17,0
2026-07-29T13:49:02.995565,273.33,0
2026-07-29T13:49:12.995932,271.67,0
2026-07-29T13:49:22.996598,270.0,0
2026-07-29T13:49:32.997072,270.0,0
2026-07-29T13:49:42.997689,275.0,0
2026-07-29T13:49:52.998246,268.33,0
2026-07-29T13:50:02.998594,274.17,0
2026-07-29T13:50:12.999415,264.17,0
2026-07-29T13:50:22.999974,275.0,0
2026-07-29T13:50:33.000551,274.17,0
2026-07-29T13:50:43.001212,272.5,0
2026-07-29T13:50:53.001789,272.5,0
2026-07-29T13:51:03.002522,273.33,0
2026-07-29T13:51:13.003041,275.0,0
