timestamp,lux,out_of_range
2026-07-28T15:43:41,118.33,0
2026-07-28T15:43:51,117.5,0
2026-07-28T15:44:01,118.33,0
2026-07-28T15:44:11,119.17,0
2026-07-28T15:44:21,119.17,0
2026-07-28T15:44:31,123.33,0
2026-07-28T15:44:41,123.33,0
2026-07-28T15:44:51,125.0,0
2026-07-28T15:45:01,125.0,0
2026-07-28T15:45:11,125.0,0
2026-07-28T15:45:21,125.0,0
2026-07-28T15:45:31,122.5,0
2026-07-28T15:45:41,121.67,0
2026-07-28T15:45:51,120.0,0
2026-07-28T15:46:01,118.33,0
2026-07-28T15:46:11,118.33,0
2026-07-28T15:46:21,119.17,0
2026-07-28T15:46:31,116.67,0
2026-07-28T15:46:41,113.33,0
2026-07-28T15:46:51,110.0,0
2026-07-28T15:47:01,108.33,0
2026-07-28T15:47:11,106.67,0
2026-07-28T15:47:21,104.17,0
2026-07-28T15:47:31,102.5,0
2026-07-28T15:47:41,100.83,0
2026-07-28T15:47:51,99.17,0
2026-07-28T15:48:01,100.0,0
2026-07-28T15:48:11,100.0,0
2026-07-28T15:48:21,99.17,0
2026-07-28T15:48:31,99.17,0
2026-07-28T15:48:41,99.17,0
2026-07-28T15:48:51,100.0,0
2026-07-28T15:49:01,99.17,0
2026-07-28T15:49:11,99.17,0
2026-07-28T15:49:21,98.33,0
2026-07-28T15:49:31,97.5,0
2026-07-28T15:49:41,97.5,0
2026-07-28T15:49:51,98.33,0
2026-07-28T15:50:01,98.33,0
2026-07-28T15:50:11,99.17,0
2026-07-28T15:50:21,100.83,0
2026-07-28T15:50:31,103.33,0
2026-07-28T15:50:41,104.17,0
2026-07-28T15:50:51,106.67,0
2026-07-28T15:51:01,107.5,0
2026-07-28T15:51:11,108.33,0
2026-07-28T15:51:21,111.67,0
2026-07-28T15:51:31,110.83,0
2026-07-28T15:51:41,110.0,0
2026-07-28T15:51:51,110.83,0
2026-07-28T15:52:01,113.33,0
2026-07-28T15:52:11,116.67,0
2026-07-28T15:52:21,117.5,0
2026-07-28T15:52:31,118.33,0
2026-07-28T15:52:41,119.17,0
2026-07-28T15:52:51,118.33,0
2026-07-28T15:53:01,119.17,0
2026-07-28T15:53:11,120.83,0
2026-07-28T15:53:21,120.0,0
2026-07-28T15:53:31,120.0,0
2026-07-28T15:53:41,120.0,0
2026-07-28T15:53:51,119.17,0
2026-07-28T15:54:01,120.0,0
2026-07-28T15:54:11,117.5,0
2026-07-28T15:54:21,116.67,0
2026-07-28T15:54:31,116.67,0
2026-07-28T15:54:41,114.17,0
2026-07-28T15:54:51,112.5,0
2026-07-28T15:55:01,113.33,0
2026-07-28T15:55:11,112.5,0
2026-07-28T15:55:21,114.17,0
2026-07-28T15:55:31,115.83,0
2026-07-28T15:55:41,115.0,0
2026-07-28T15:55:51,113.33,0
2026-07-28T15:56:01,112.5,0
2026-07-28T15:56:11,112.5,0
2026-07-28T15:56:21,111.67,0
2026-07-28T15:56:31,110.83,0
2026-07-28T15:56:41,111.67,0
2026-07-28T15:56:51,110.83,0
2026-07-28T15:57:01,110.83,0
2026-07-28T15:57:11,110.0,0
2026-07-28T15:57:21,110.0,0
2026-07-28T15:57:31,110.0,0
2026-07-28T15:57:41,108.33,0
2026-07-28T15:57:51,108.33,0
2026-07-28T15:58:01,107.5,0
2026-07-28T15:58:11,106.67,0
2026-07-28T15:58:21,106.67,0
2026-07-28T15:58:31,106.67,0
2026-07-28T15:58:41,106.67,0
2026-07-28T15:58:51,106.67,0
2026-07-28T15:59:01,106.67,0
2026-07-28T15:59:11,107.5,0
2026-07-28T15:59:21,113.33,0
2026-07-28T15:59:31,117.5,0
2026-07-28T15:59:41,115.0,0
2026-07-28T15:59:51,113.33,0
2026-07-28T16:00:01,110.83,0
2026-07-28T16:00:11,110.83,0
