timestamp,lux
2026-07-29T14:35:13,2645.83
2026-07-29T14:35:23,2615.83
2026-07-29T14:35:33,2587.5
2026-07-29T14:35:43,2555.0
2026-07-29T14:35:53,2519.17
2026-07-29T14:36:03,2513.33
2026-07-29T14:36:13,2493.33
2026-07-29T14:36:23,268.33
2026-07-29T14:36:33,2558.33
2026-07-29T14:36:43,2534.17
2026-07-29T14:36:53,2510.0
2026-07-29T14:37:03,2485.83
2026-07-29T14:37:13,2462.5
2026-07-29T14:37:23,2442.5
2026-07-29T14:37:33,2425.0
2026-07-29T14:37:43,2412.5
2026-07-29T14:37:53,2400.0
2026-07-29T14:38:03,2380.0
2026-07-29T14:38:13,2364.17
2026-07-29T14:38:23,2350.83
2026-07-29T14:38:33,2336.67
2026-07-29T14:38:43,2320.83
2026-07-29T14:38:53,2307.5
2026-07-29T14:39:03,2297.5
2026-07-29T14:39:13,2287.5
2026-07-29T14:39:23,2270.83
2026-07-29T14:39:33,2257.5
2026-07-29T14:39:43,2245.83
2026-07-29T14:39:53,2235.83
2026-07-29T14:40:03,2225.83
2026-07-29T14:40:13,2218.33
2026-07-29T14:40:23,2208.33
2026-07-29T14:40:33,2199.17
2026-07-29T14:40:43,2186.67
2026-07-29T14:40:53,2177.5
2026-07-29T14:41:03,2164.17
2026-07-29T14:41:13,2160.0
2026-07-29T14:41:23,2148.33
2026-07-29T14:41:33,2138.33
2026-07-29T14:41:43,2135.83
2026-07-29T14:41:53,2131.67
2026-07-29T14:42:03,2125.83
2026-07-29T14:42:13,2117.5
2026-07-29T14:42:23,2109.17
2026-07-29T14:42:33,2105.0
2026-07-29T14:42:43,2094.17
2026-07-29T14:42:53,2080.83
2026-07-29T14:43:03,2077.5
2026-07-29T14:43:13,2073.33
2026-07-29T14:43:23,2080.0
2026-07-29T14:43:33,2060.83
2026-07-29T14:43:43,1949.17
2026-07-29T14:43:53,1657.5
2026-07-29T14:44:03,1704.17
2026-07-29T14:44:13,1601.67
2026-07-29T14:44:23,1595.0
2026-07-29T14:44:33,1478.33
2026-07-29T14:44:43,1497.5
2026-07-29T14:44:53,1421.67
2026-07-29T14:45:03,1421.67
2026-07-29T14:45:13,1414.17
2026-07-29T14:45:23,1395.0
2026-07-29T14:45:33,1387.5
2026-07-29T14:45:43,1386.67
2026-07-29T14:45:53,1395.83
2026-07-29T14:46:03,1393.33
2026-07-29T14:46:13,1379.17
2026-07-29T14:46:23,1368.33
2026-07-29T14:46:33,1355.83
2026-07-29T14:46:43,1340.83
2026-07-29T14:46:53,1331.67
2026-07-29T14:47:03,1324.17
2026-07-29T14:47:13,1318.33
2026-07-29T14:47:23,1313.33
2026-07-29T14:47:33,1310.0
2026-07-29T14:47:43,1310.83
2026-07-29T14:47:53,1316.67
2026-07-29T14:48:03,1333.33
2026-07-29T14:48:13,1383.33
2026-07-29T14:48:23,1635.0
2026-07-29T14:48:33,1464.17
2026-07-29T14:48:43,1474.17
2026-07-29T14:48:53,1455.83
2026-07-29T14:49:03,1447.5
2026-07-29T14:49:13,1462.5
2026-07-29T14:49:23,1495.0
2026-07-29T14:49:33,1460.0
2026-07-29T14:49:43,1409.17
2026-07-29T14:49:53,1406.67
2026-07-29T14:50:03,1440.83
2026-07-29T14:50:13,1639.17
2026-07-29T14:50:23,1588.33
2026-07-29T14:50:33,1562.5
2026-07-29T14:50:43,1566.67
2026-07-29T14:50:53,1423.33
2026-07-29T14:51:03,1514.17
2026-07-29T14:51:13,1402.5
2026-07-29T14:51:23,1400.0
2026-07-29T14:51:33,1442.5
2026-07-29T14:51:43,1400.83
2026-07-29T14:51:53,1411.67
2026-07-29T14:52:03,1430.83
2026-07-29T14:52:13,1412.5
2026-07-29T14:52:23,1509.17
2026-07-29T14:52:33,1586.67
2026-07-29T14:52:43,1510.83
2026-07-29T14:52:53,1389.17
2026-07-29T14:53:03,1382.5
2026-07-29T14:53:13,1392.5
2026-07-29T14:53:23,1387.5
2026-07-29T14:53:33,1388.33
2026-07-29T14:53:43,1393.33
2026-07-29T14:53:53,1408.33
2026-07-29T14:54:03,1390.83
2026-07-29T14:54:13,1390.0
2026-07-29T14:54:23,1421.67
2026-07-29T14:54:33,1573.33
2026-07-29T14:54:43,1445.83
2026-07-29T14:54:53,1437.5
2026-07-29T14:55:03,1401.67
2026-07-29T14:55:13,1634.17
2026-07-29T14:55:23,1678.33
2026-07-29T14:55:33,1911.67
2026-07-29T14:55:43,1985.83
2026-07-29T14:55:53,2004.17
2026-07-29T14:56:03,2026.67
2026-07-29T14:56:13,2044.17
2026-07-29T14:56:23,2079.17
2026-07-29T14:56:33,2100.83
2026-07-29T14:56:43,2117.5
2026-07-29T14:56:53,2142.5
2026-07-29T14:57:03,2173.33
2026-07-29T14:57:13,2189.17
2026-07-29T14:57:23,2197.5
2026-07-29T14:57:33,2206.67
2026-07-29T14:57:43,2218.33
2026-07-29T14:57:53,2220.83
2026-07-29T14:58:03,2217.5
2026-07-29T14:58:13,2181.67
2026-07-29T14:58:23,2175.0
2026-07-29T14:58:33,2185.83
2026-07-29T14:58:43,2132.5
2026-07-29T14:58:53,1832.5
2026-07-29T14:59:03,2165.83
2026-07-29T14:59:13,2043.33
2026-07-29T14:59:23,2097.5
2026-07-29T14:59:33,2162.5
2026-07-29T14:59:43,2249.17
2026-07-29T14:59:53,2228.33
2026-07-29T15:00:03,2133.33
2026-07-29T15:00:13,2069.17
2026-07-29T15:00:23,1978.33
2026-07-29T15:00:33,1878.33
2026-07-29T15:00:43,1927.5
2026-07-29T15:00:53,1905.0
2026-07-29T15:01:03,1839.17
2026-07-29T15:01:13,1760.0
2026-07-29T15:01:23,1993.33
2026-07-29T15:01:33,1828.33
2026-07-29T15:01:43,1660.83
2026-07-29T15:01:53,1640.83
2026-07-29T15:02:03,1637.5
2026-07-29T15:02:13,1642.5
2026-07-29T15:02:23,1671.67
2026-07-29T15:02:33,1690.83
2026-07-29T15:02:43,1681.67
2026-07-29T15:02:53,1679.17
2026-07-29T15:03:03,1683.33
2026-07-29T15:03:13,1691.67
2026-07-29T15:03:23,1700.0
2026-07-29T15:03:33,1706.67
2026-07-29T15:03:43,1712.5
2026-07-29T15:03:53,1716.67
2026-07-29T15:04:03,1720.0
2026-07-29T15:04:13,1720.0
2026-07-29T15:04:23,1721.67
2026-07-29T15:04:33,1719.17
2026-07-29T15:04:43,1711.67
2026-07-29T15:04:53,1699.17
2026-07-29T15:05:03,1683.33
2026-07-29T15:05:13,1669.17
2026-07-29T15:05:23,1656.67
2026-07-29T15:05:33,1649.17
2026-07-29T15:05:43,1644.17
2026-07-29T15:05:53,1638.33
2026-07-29T15:06:03,1631.67
2026-07-29T15:06:13,1630.83
2026-07-29T15:06:23,1634.17
2026-07-29T15:06:33,1644.17
2026-07-29T15:06:43,1664.17
2026-07-29T15:06:53,1691.67
2026-07-29T15:07:03,1723.33
2026-07-29T15:07:13,1757.5
2026-07-29T15:07:23,1783.33
2026-07-29T15:07:33,37.5
2026-07-29T15:07:43,247.5
2026-07-29T15:07:53,244.17
2026-07-29T15:08:03,242.5
2026-07-29T15:08:13,245.0
2026-07-29T15:08:23,246.67
2026-07-29T15:08:33,248.33
2026-07-29T15:08:43,249.17
2026-07-29T15:08:53,250.0
2026-07-29T15:09:03,250.83
2026-07-29T15:09:13,252.5
2026-07-29T15:09:23,249.17
2026-07-29T15:09:33,248.33
2026-07-29T15:09:43,247.5
2026-07-29T15:09:53,246.67
2026-07-29T15:10:03,245.0
2026-07-29T15:10:13,245.0
2026-07-29T15:10:23,244.17
2026-07-29T15:10:33,244.17
2026-07-29T15:10:43,245.0
2026-07-29T15:10:53,245.0
2026-07-29T15:11:03,244.17
2026-07-29T15:11:13,244.17
2026-07-29T15:11:23,243.33
2026-07-29T15:11:33,243.33
2026-07-29T15:11:43,244.17
2026-07-29T15:11:53,243.33
2026-07-29T15:12:03,242.5
2026-07-29T15:12:13,242.5
2026-07-29T15:12:23,243.33
2026-07-29T15:12:33,243.33
2026-07-29T15:12:43,245.0
2026-07-29T15:12:53,246.67
2026-07-29T15:13:03,247.5
2026-07-29T15:13:13,248.33
2026-07-29T15:13:23,249.17
2026-07-29T15:13:33,250.83
2026-07-29T15:13:43,252.5
2026-07-29T15:13:53,276.67
2026-07-29T15:14:03,315.83
2026-07-29T15:14:13,304.17
2026-07-29T15:14:23,261.67
2026-07-29T15:14:33,250.83
2026-07-29T15:14:43,250.0
2026-07-29T15:14:53,250.0
2026-07-29T15:15:03,250.83
2026-07-29T15:15:13,250.0
2026-07-29T15:15:23,250.0
2026-07-29T15:15:33,248.33
2026-07-29T15:15:43,248.33
2026-07-29T15:15:53,248.33
2026-07-29T15:16:03,247.5
2026-07-29T15:16:13,246.67
2026-07-29T15:16:23,247.5
2026-07-29T15:16:33,255.83
2026-07-29T15:16:43,340.83
2026-07-29T15:16:53,355.83
2026-07-29T15:17:03,353.33
2026-07-29T15:17:13,327.5
2026-07-29T15:17:23,280.83
2026-07-29T15:17:33,285.0
2026-07-29T15:17:43,275.0
2026-07-29T15:17:53,272.5
2026-07-29T15:18:03,263.33
2026-07-29T15:18:13,258.33
2026-07-29T15:18:23,253.33
2026-07-29T15:18:33,250.0
2026-07-29T15:18:43,246.67
2026-07-29T15:18:53,244.17
2026-07-29T15:19:03,244.17
2026-07-29T15:19:13,239.17
2026-07-29T15:19:23,235.83
2026-07-29T15:19:33,231.67
2026-07-29T15:19:43,230.0
2026-07-29T15:19:53,230.83
2026-07-29T15:20:03,230.0
2026-07-29T15:20:13,230.0
2026-07-29T15:20:23,230.0
2026-07-29T15:20:33,230.83
2026-07-29T15:20:43,235.0
2026-07-29T15:20:53,255.0
2026-07-29T15:21:03,245.0
2026-07-29T15:21:13,241.67
2026-07-29T15:21:23,240.0
2026-07-29T15:21:33,234.17
2026-07-29T15:21:43,231.67
2026-07-29T15:21:53,230.0
2026-07-29T15:22:03,230.0
2026-07-29T15:22:13,228.33
2026-07-29T15:22:23,228.33
2026-07-29T15:22:33,227.5
2026-07-29T15:22:43,226.67
2026-07-29T15:22:53,226.67
2026-07-29T15:23:03,225.83
2026-07-29T15:23:13,225.83
2026-07-29T15:23:23,226.67
2026-07-29T15:23:33,225.0
2026-07-29T15:23:43,224.17
2026-07-29T15:23:53,223.33
2026-07-29T15:24:03,221.67
2026-07-29T15:24:13,220.83
2026-07-29T15:24:23,220.0
2026-07-29T15:24:33,219.17
2026-07-29T15:24:43,218.33
2026-07-29T15:24:53,218.33
2026-07-29T15:25:03,218.33
2026-07-29T15:25:13,218.33
2026-07-29T15:25:23,218.33
2026-07-29T15:25:33,218.33
2026-07-29T15:25:43,218.33
2026-07-29T15:25:53,218.33
2026-07-29T15:26:03,217.5
2026-07-29T15:26:13,217.5
2026-07-29T15:26:23,216.67
2026-07-29T15:26:33,218.33
2026-07-29T15:26:43,218.33
2026-07-29T15:26:53,219.17
2026-07-29T15:27:03,219.17
2026-07-29T15:27:13,220.83
2026-07-29T15:27:23,220.83
2026-07-29T15:27:33,220.83
2026-07-29T15:27:43,220.83
2026-07-29T15:27:53,220.83
2026-07-29T15:28:03,220.0
2026-07-29T15:28:13,220.0
2026-07-29T15:28:23,220.0
2026-07-29T15:28:33,219.17
2026-07-29T15:28:43,220.0
2026-07-29T15:28:53,219.17
2026-07-29T15:29:03,220.0
2026-07-29T15:29:13,220.0
2026-07-29T15:29:23,220.0
2026-07-29T15:29:33,220.83
2026-07-29T15:29:43,220.83
2026-07-29T15:29:53,220.83
2026-07-29T15:30:03,220.83
2026-07-29T15:30:13,221.67
2026-07-29T15:30:23,221.67
2026-07-29T15:30:33,222.5
2026-07-29T15:30:43,222.5
2026-07-29T15:30:53,223.33
2026-07-29T15:31:03,224.17
2026-07-29T15:31:13,225.0
2026-07-29T15:31:23,225.0
2026-07-29T15:31:33,225.83
2026-07-29T15:31:43,225.83
2026-07-29T15:31:53,227.5
2026-07-29T15:32:03,228.33
2026-07-29T15:32:13,228.33
2026-07-29T15:32:23,229.17
2026-07-29T15:32:33,230.0
2026-07-29T15:32:43,230.0
2026-07-29T15:32:53,230.83
2026-07-29T15:33:03,231.67
2026-07-29T15:33:13,231.67
2026-07-29T15:33:23,232.5
2026-07-29T15:33:33,233.33
2026-07-29T15:33:43,233.33
2026-07-29T15:33:53,234.17
2026-07-29T15:34:03,235.83
2026-07-29T15:34:13,236.67
2026-07-29T15:34:23,236.67
2026-07-29T15:34:33,238.33
2026-07-29T15:34:43,240.83
2026-07-29T15:34:53,243.33
2026-07-29T15:35:03,247.5
